date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:56	18568/18568	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Feb%202020%2003:52:10%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/6633730800-1-1-16.jpg?v=1546788989627	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/6633730800-1-1-162075.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:34:08	897790/897790	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Dec%202018%2010:16:41%20GMT	http://bizweb.dktcdn.net/100/343/333/products/0760154606-1-1-16.jpg?v=1546251401000	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/100/343/333/products/0760154606-1-1-1691f4.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:34:11	18259/18259	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Jan%202020%2011:15:23%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/6633730800-2-1-16.jpg?v=1546788993083	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/6633730800-2-1-16de03.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:34:26	72581/72581	---MCZ	200	added ('OK')	text/html	etag:W/e5c92f66555e6fe560e4c137239cd1a7	https://tmt-fashion-1.mysapo.net/black-belted-wool-coat	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/tmt-fashion-1.mysapo.net/black-belted-wool-coat.html	(from https://tmt-fashion-1.mysapo.net/)
21:34:29	7686/7686	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Feb%202020%2003:01:42%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/343/333/products/6456723800-1-1-16.jpg?v=1546788536763	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/medium/100/343/333/products/6456723800-1-1-165caf.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:34:32	19894/19894	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Oct%202019%2011:19:02%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/6456723800-1-1-16.jpg?v=1546788536763	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/6456723800-1-1-165caf.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:34:37	819534/819534	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Jan%202019%2015:41:47%20GMT	http://bizweb.dktcdn.net/100/343/333/products/6744538800-1-1-16.jpg?v=1546789307327	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/100/343/333/products/6744538800-1-1-166217.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:34:41	19526/19526	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Mar%202020%2018:58:34%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/343/333/products/6456723800-2-1-16.jpg?v=1546788539887	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/grande/100/343/333/products/6456723800-2-1-1683d3.jpg	(from https://tmt-fashion-1.mysapo.net/)
21:34:55	69945/69945	---MCZ	200	added ('OK')	text/html	etag:W/e0a58795d9b87dbc8774ac71e2d4f8d7	https://tmt-fashion-1.mysapo.net/sparkly-navy-textured-sweater	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/tmt-fashion-1.mysapo.net/sparkly-navy-textured-sweater.html	(from https://tmt-fashion-1.mysapo.net/)
21:34:56	7630/7630	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Mar%202020%2004:38:15%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/343/333/products/5623706401-1-1-16-1.jpg?v=1546788316587	C:/Users/hp/Downloads/layout-js-nangcao/quynhnnph09019/bizweb.dktcdn.net/thumb/medium/100/343/333/products/5623706401-1-1-16-1dbb3.jpg	(from https://tmt-fashion-1.mysapo.net/)
